City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Vila Velha,BR,75.96,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
304,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
307,Neuquen,AR,85.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
308,Tiarei,PF,80.62,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
316,Puerto Narino,CO,89.55,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
320,Bara,NG,76.37,scattered clouds,10.3744,10.7288,
321,Meadow Lake,US,83.82,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
322,Fortuna,US,85.42,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
326,Banda Aceh,ID,79.48,few clouds,5.5577,95.3222,Sulthan Hotel International
327,Valera,VE,82.2,overcast clouds,9.3178,-70.6036,Hotel Camino Real
333,Lazaro Cardenas,MX,84.87,broken clouds,17.9583,-102.2,quinta antigua
341,Puerto Penasco,MX,84.9,overcast clouds,31.3167,-113.5333,Playa Bonita Resort
350,Simbahan,PH,83.32,overcast clouds,6.3032,120.5836,
352,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Hotel Pigalle
354,Nerja,ES,82.58,broken clouds,36.7585,-3.8873,Toboso apar-turis
359,Vanimo,PG,77.79,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
360,Warwick,US,78.82,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
364,Kieta,PG,78.21,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
365,Jalu,LY,75.27,clear sky,29.0331,21.5482,صاحبة الفخامة
368,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
369,Misratah,LY,77.59,clear sky,32.3754,15.0925,فندق الماسة
372,Lakatoro,VU,76.91,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
375,Minab,IR,87.3,clear sky,27.1467,57.0801,Bam campground
378,Pilar Do Sul,BR,80.35,overcast clouds,-23.8131,-47.7164,HOTEL CENTRAL
379,Puerto Colombia,CO,87.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
383,Nong Chik,TH,77.36,overcast clouds,6.8436,101.178,Bakkahland Farm and Resort
388,Kodarma,IN,76.77,clear sky,24.4667,85.6,"Surywanshi House,Jalwabad ( C/o Gurmit Singh )"
389,Grand-Santi,GF,87.35,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
391,Minbu,MM,77.23,heavy intensity rain,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
393,Barahona,DO,89.42,scattered clouds,18.2085,-71.1008,Hotel Caribe
394,Houma,US,80.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
396,Tecoanapa,MX,86.11,overcast clouds,16.5167,-98.75,Hotel Manglares
402,Portland,US,87.49,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
408,Nabire,ID,75.18,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
411,Ewa Beach,US,81.7,light rain,21.3156,-158.0072,Uncle Junior Robert
414,Champerico,GT,85.95,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
415,Hamilton,US,76.08,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
417,Harper,LR,78.4,broken clouds,4.375,-7.7169,Screensaver
420,Catia La Mar,VE,88.0,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
422,Yarmouth,US,78.78,clear sky,41.7057,-70.2286,Blue Rock Resort
426,Bonthe,SL,78.78,broken clouds,7.5264,-12.505,Bonthe Holiday Village
427,Bafoulabe,ML,80.82,overcast clouds,13.8065,-10.8321,
428,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
429,Tautira,PF,80.62,clear sky,-17.7333,-149.15,Pension Oaoa
433,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
438,Bambanglipuro,ID,75.31,broken clouds,-7.95,110.2833,Puri Brata
440,Bom Jardim,BR,80.94,broken clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
445,Kaka,TM,84.27,clear sky,37.3482,59.6143,
449,Lumby,CA,75.56,overcast clouds,50.2498,-118.969,Twin Creeks Motel
451,Sao Felix Do Xingu,BR,83.48,broken clouds,-6.6447,-51.995,Rio Xingu Camping
452,Gonaives,HT,85.98,overcast clouds,19.45,-72.6833,Vertières Doux Séjour
456,Finschhafen,PG,76.96,scattered clouds,-6.6024,147.8681,Cossam Guest House
459,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
462,Bonoua,CI,78.42,light rain,5.2741,-3.595,Hotel Bon Samaritian
463,Galveston,US,85.19,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
464,Piacabucu,BR,76.15,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
468,Warri,NG,77.38,overcast clouds,5.5167,5.75,BON Hotel Delta
472,Bud,US,75.15,clear sky,39.447,-86.1758,Ted McQuinn Trust
473,Elat,IL,84.04,clear sky,29.5581,34.9482,Club Hotel Eilat
474,West Bay,KY,89.67,scattered clouds,19.3667,-81.4167,Calypso Cove
475,Presidencia Roque Saenz Pena,AR,81.99,clear sky,-26.7852,-60.4388,Hotel Gualok
477,Padang,ID,75.96,light rain,-0.9492,100.3543,Mercure Padang
478,Natal,BR,83.05,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
480,Axim,GH,77.34,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
482,Rawson,AR,78.39,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
483,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
484,Viedma,AR,78.31,clear sky,-40.8135,-62.9967,Hotel Cristal
488,Fort Abbas,PK,88.23,clear sky,29.1925,72.8536,AsAd's House
493,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
497,San Policarpo,PH,82.11,scattered clouds,12.1791,125.5072,Manong Aklan Resort
499,Praia,CV,81.14,haze,14.9215,-23.5087,LT Aparthotel
507,Doha,QA,87.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
513,Larap,PH,78.66,light rain,14.299,122.6504,Montemayor Cove
518,Bombay,IN,82.38,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
519,Candolim,IN,78.91,overcast clouds,15.5181,73.7626,Resort Terra Paraiso
